# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 28 05:32:23 2022
#
# User preference: *
#
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_orbsmax,pl_radj,pl_massj,st_rad,st_mass,ra,dec,sy_dist,sy_gaiamag
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,84.000000,,13.00000,,0.19,15.8992489,-55.2658291,,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,156.000000,1.440,13.90000,0.28,0.11,34.8427046,-39.4230767,,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,15.000000,,7.50000,,0.02,70.4371079,23.0308544,,18.9668000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,,0.920,20.95000,0.12,0.08,325.1218214,16.4213408,,17.3961000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2.600000,,10.50000,,0.02,224.6208333,10.2286111,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,200.000000,1.860,7.80000,0.24,0.01,246.9342770,-23.9811500,,
CoRoT-21 b,CoRoT-21,0.041700,1.300,2.26000,1.95,1.29,101.0526207,-0.2991544,,15.8558000
CoRoT-21 b,CoRoT-21,0.041600,1.300,2.22000,1.95,1.29,101.0526207,-0.2991544,,15.8558000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,0.360000,,28.50000,,0.07,125.7620668,-49.2003008,,18.5577000
EPIC 201170410.02,EPIC 201170410,0.034900,0.093,,0.28,0.29,170.1408561,-4.8070039,,16.4386000
EPIC 201757695.02,EPIC 201757695,0.029600,0.081,,0.66,0.73,173.9385102,4.6164303,,
FU Tau b,FU Tau,800.000000,,16.00000,,0.05,65.8974962,25.0506711,,15.2412000
HD 62509 b,HD 62509,1.610000,,,,2.00,116.3288240,28.0261270,,
HD 62509 b,HD 62509,1.690000,,,8.90,1.70,116.3288240,28.0261270,,
HD 62509 b,HD 62509,1.660000,,,,1.73,116.3288240,28.0261270,,
HD 62509 b,HD 62509,1.640000,,,,,116.3288240,28.0261270,,
HU Aqr AB b,HU Aqr,3.600000,,,,0.88,316.9921976,-5.2948694,,16.4718000
HU Aqr AB c,HU Aqr,5.400000,,,,0.88,316.9921976,-5.2948694,,16.4718000
K2-120 b,K2-120,,,,,,132.1428530,17.1905813,,
K2-120 b,K2-120,0.078000,0.179,,0.67,0.69,132.1428530,17.1905813,,
K2-120 b,K2-120,,0.176,,0.60,,132.1428530,17.1905813,,
K2-65 b,K2-65,0.101400,0.141,,0.84,0.87,333.2125206,-10.9261373,,
K2-65 b,K2-65,,0.147,,0.72,,333.2125206,-10.9261373,,
K2-65 b,K2-65,,0.131,,0.72,,333.2125206,-10.9261373,,
K2-65 b,K2-65,,0.123,,0.67,0.70,333.2125206,-10.9261373,,
K2-65 b,K2-65,,,,,,333.2125206,-10.9261373,,
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,,,,,,272.6646120,-24.8577385,,
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,,,,,,268.1120000,-29.3845615,,
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,,,,,,269.6496667,-28.1336694,,
KMT-2018-BLG-1292L b,KMT-2018-BLG-1292L,,,,,,263.4275830,-33.5206694,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,,269.1162500,-28.2011111,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,,269.1162500,-28.2011111,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,,269.1162500,-28.2011111,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,,269.1162500,-28.2011111,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,,269.1162500,-28.2011111,,
KOI-1257 b,KOI-1257,0.352900,,,0.86,0.78,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,,,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,,,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,0.352900,,,0.86,0.78,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,0.378600,,,1.12,0.96,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,,,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,,0.704,,0.89,0.89,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,0.355000,,,0.85,0.80,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,0.352900,,,0.86,0.78,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,0.382000,0.940,1.45000,1.13,0.99,291.2250888,44.9272918,,14.6419000
Kepler-1006 b,Kepler-1006,0.146400,,,1.18,1.06,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,,0.323,,1.51,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,0.146400,,,1.18,1.06,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,0.146400,,,1.18,1.06,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,,0.137,,0.74,0.78,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,,,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,,,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,0.146400,,,1.18,1.06,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,0.149000,,,1.21,1.14,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,,,,,,295.7542063,42.5373065,,
Kepler-1007 b,Kepler-1007,,,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,,,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,0.050000,,,0.59,0.62,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,0.048000,,,0.56,0.55,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,,,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,0.048000,,,0.56,0.55,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,0.048000,,,0.56,0.55,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,,0.128,,0.70,0.73,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,0.048000,,,0.56,0.55,295.9065297,45.8090893,,14.7347000
Kepler-1042 b,Kepler-1042,,,,,,288.6689428,39.8239935,,15.6716000
