# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 28 01:02:29 2022
#
# User preference: *
#
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_rade,pl_radj,pl_masse,pl_massj,ra,dec,sy_dist,sy_gaiamag
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,,4131.79000,13.00000,15.8992489,-55.2658291,,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,16.141,1.440,4417.83700,13.90000,34.8427046,-39.4230767,,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,2383.60000,7.50000,70.4371079,23.0308544,,18.9668000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,10.310,0.920,6657.48000,20.95000,325.1218214,16.4213408,,17.3961000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,,,3337.10000,10.50000,224.6208333,10.2286111,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,20.849,1.860,2479.06157,7.80000,246.9342770,-23.9811500,,
CoRoT-21 b,CoRoT-21,14.572,1.300,718.29580,2.26000,101.0526207,-0.2991544,,15.8558000
CoRoT-21 b,CoRoT-21,14.572,1.300,705.58260,2.22000,101.0526207,-0.2991544,,15.8558000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,,,9057.77000,28.50000,125.7620668,-49.2003008,,18.5577000
EPIC 201170410.02,EPIC 201170410,1.047,0.093,,,170.1408561,-4.8070039,,16.4386000
EPIC 201757695.02,EPIC 201757695,0.908,0.081,,,173.9385102,4.6164303,,
FU Tau b,FU Tau,,,5085.28000,16.00000,65.8974962,25.0506711,,15.2412000
HD 62509 b,HD 62509,,,,,116.3288240,28.0261270,,
HD 62509 b,HD 62509,,,,,116.3288240,28.0261270,,
HD 62509 b,HD 62509,,,,,116.3288240,28.0261270,,
HD 62509 b,HD 62509,,,,,116.3288240,28.0261270,,
HU Aqr AB b,HU Aqr,,,,,316.9921976,-5.2948694,,16.4718000
HU Aqr AB c,HU Aqr,,,,,316.9921976,-5.2948694,,16.4718000
K2-120 b,K2-120,,,,,132.1428530,17.1905813,,
K2-120 b,K2-120,2.010,0.179,,,132.1428530,17.1905813,,
K2-120 b,K2-120,1.970,0.176,,,132.1428530,17.1905813,,
K2-65 b,K2-65,1.580,0.141,,,333.2125206,-10.9261373,,
K2-65 b,K2-65,1.650,0.147,,,333.2125206,-10.9261373,,
K2-65 b,K2-65,1.470,0.131,,,333.2125206,-10.9261373,,
K2-65 b,K2-65,1.382,0.123,,,333.2125206,-10.9261373,,
K2-65 b,K2-65,,,,,333.2125206,-10.9261373,,
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,,,,,272.6646120,-24.8577385,,
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,,,,,268.1120000,-29.3845615,,
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,,,,,269.6496667,-28.1336694,,
KMT-2018-BLG-1292L b,KMT-2018-BLG-1292L,,,,,263.4275830,-33.5206694,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,269.1162500,-28.2011111,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,269.1162500,-28.2011111,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,269.1162500,-28.2011111,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,269.1162500,-28.2011111,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,,,,269.1162500,-28.2011111,,
KOI-1257 b,KOI-1257,7.620,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,7.620,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,9.400,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,7.890,0.704,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,7.100,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,7.620,,,,291.2250888,44.9272918,,14.6419000
KOI-1257 b,KOI-1257,10.540,0.940,460.83000,1.45000,291.2250888,44.9272918,,14.6419000
Kepler-1006 b,Kepler-1006,2.460,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,3.616,0.323,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,2.810,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,2.460,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,1.540,0.137,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,2.460,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,2.600,,,,295.7542063,42.5373065,,
Kepler-1006 b,Kepler-1006,,,,,295.7542063,42.5373065,,
Kepler-1007 b,Kepler-1007,,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,1.510,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,1.170,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,1.170,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,1.150,,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,1.440,0.128,,,295.9065297,45.8090893,,14.7347000
Kepler-1007 b,Kepler-1007,1.170,,,,295.9065297,45.8090893,,14.7347000
Kepler-1042 b,Kepler-1042,,,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,1.730,,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,1.730,,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,2.410,,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,1.730,,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,1.670,,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,2.190,0.195,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,,,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,,,,,288.6689428,39.8239935,,15.6716000
Kepler-1064 b,Kepler-1064,1.550,0.138,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,1.510,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,1.570,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,1.260,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,1.260,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,1.260,,,,291.7415821,37.6888103,,13.7409000
Kepler-1076 b,Kepler-1076,0.830,,,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.790,,,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.810,,,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.810,,,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.800,0.071,,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,,,,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,,,,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.810,,,,287.5902594,51.0606047,,12.9489000
Kepler-1281 b,Kepler-1281,1.690,,,,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,1.500,,,,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,1.590,,,,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,1.690,,,,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,,,,,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,,,,,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,1.640,0.146,,,295.3543571,48.5153932,,15.9970000
